ctrl,block,picture_name,x1,x2,t1,t2,m1,m2
1,1,GiraFFe_nEck,1.246941135940084,3.8921262091647004,1,-1,0,0
0,1,QueUe_dApPer,0.6288818382489025,5.194534790099107,1,-1,0,0
0,1,NIce_bOUnCY,0.7828446779575104,3.5112506998272726,1,-1,0,0
0,1,feature_dog,-0.7897691916334053,2.029158304615232,1,-1,0,0
0,1,structure_mention,1.6404130280218108,3.7513317872997733,1,-1,0,0
0,1,REqUEst_ReCoGNise,-0.41085173404063163,4.122367840870528,1,-1,0,0
0,1,afford_gutter,2.6913819968444823,1.9946872923253605,1,-1,0,0
0,1,prr0teSt_intEnd,2.3404956186598462,2.364477505690643,1,-1,0,0
0,1,bOunDaRY_sTRanGer,0.6890692077578144,1.0572570667314596,1,-1,0,0
0,1,nose_mArrvELouS,0.025296988568839416,-2.252334868574457,-1,1,0,0
0,1,beach_fur,0.2724814000118901,-0.6791003912959886,-1,1,0,0
0,1,friend_Koran,1.4596277603163381,0.40407028037178966,-1,1,0,0
0,1,bLAND_bLACk,-1.5830918890979475,-1.392763223207289,-1,1,0,0
0,1,TAMe_ClASSY,1.976033568324301,-3.621532254145691,-1,1,0,0
0,1,destruction_conscience,-0.939677471351701,0.49701952117941756,-1,1,0,0
0,1,cEmetErry_plAin,4.730143147513038,-2.824098322506962,-1,1,0,0
0,1,crowd_eat,3.4644257806227783,-2.181476207608314,-1,1,0,0
0,1,serve_battlefield,-1.5978517191791315,-0.10553317170453562,-1,1,0,0
0,2,cEmetErry_plAin,4.730143147513038,-2.824098322506962,-1,1,0,0
0,2,bOunDaRY_sTRanGer,0.6890692077578144,1.0572570667314596,1,-1,0,0
0,2,prr0teSt_intEnd,2.3404956186598462,2.364477505690643,1,-1,0,0
0,2,REqUEst_ReCoGNise,-0.41085173404063163,4.122367840870528,1,-1,0,0
0,2,nose_mArrvELouS,0.025296988568839416,-2.252334868574457,-1,1,0,0
0,2,serve_battlefield,-1.5978517191791315,-0.10553317170453562,-1,1,0,0
0,2,afford_gutter,2.6913819968444823,1.9946872923253605,1,-1,0,0
0,2,feature_dog,-0.7897691916334053,2.029158304615232,1,-1,0,0
0,2,NIce_bOUnCY,0.7828446779575104,3.5112506998272726,1,-1,0,0
0,2,structure_mention,1.6404130280218108,3.7513317872997733,1,-1,0,0
0,2,GiraFFe_nEck,1.246941135940084,3.8921262091647004,1,-1,0,0
0,2,bLAND_bLACk,-1.5830918890979475,-1.392763223207289,-1,1,0,0
0,2,QueUe_dApPer,0.6288818382489025,5.194534790099107,1,-1,0,0
0,2,friend_Koran,1.4596277603163381,0.40407028037178966,-1,1,0,0
0,2,TAMe_ClASSY,1.976033568324301,-3.621532254145691,-1,1,0,0
0,2,beach_fur,0.2724814000118901,-0.6791003912959886,-1,1,0,0
0,2,destruction_conscience,-0.939677471351701,0.49701952117941756,-1,1,0,0
0,2,crowd_eat,3.4644257806227783,-2.181476207608314,-1,1,0,0
0,3,GiraFFe_nEck,1.246941135940084,3.8921262091647004,1,-1,0,0
0,3,TAMe_ClASSY,1.976033568324301,-3.621532254145691,-1,1,0,0
0,3,feature_dog,-0.7897691916334053,2.029158304615232,1,-1,0,0
0,3,afford_gutter,2.6913819968444823,1.9946872923253605,1,-1,0,0
0,3,QueUe_dApPer,0.6288818382489025,5.194534790099107,1,-1,0,0
0,3,prr0teSt_intEnd,2.3404956186598462,2.364477505690643,1,-1,0,0
0,3,NIce_bOUnCY,0.7828446779575104,3.5112506998272726,1,-1,0,0
0,3,serve_battlefield,-1.5978517191791315,-0.10553317170453562,-1,1,0,0
0,3,structure_mention,1.6404130280218108,3.7513317872997733,1,-1,0,0
0,3,bOunDaRY_sTRanGer,0.6890692077578144,1.0572570667314596,1,-1,0,0
0,3,crowd_eat,3.4644257806227783,-2.181476207608314,-1,1,0,0
0,3,cEmetErry_plAin,4.730143147513038,-2.824098322506962,-1,1,0,0
0,3,friend_Koran,1.4596277603163381,0.40407028037178966,-1,1,0,0
0,3,beach_fur,0.2724814000118901,-0.6791003912959886,-1,1,0,0
0,3,bLAND_bLACk,-1.5830918890979475,-1.392763223207289,-1,1,0,0
0,3,REqUEst_ReCoGNise,-0.41085173404063163,4.122367840870528,1,-1,0,0
0,3,destruction_conscience,-0.939677471351701,0.49701952117941756,-1,1,0,0
0,3,nose_mArrvELouS,0.025296988568839416,-2.252334868574457,-1,1,0,0
0,4,QueUe_dApPer,0.6288818382489025,5.194534790099107,1,-1,0,0
0,4,destruction_conscience,-0.939677471351701,0.49701952117941756,-1,1,0,0
0,4,bOunDaRY_sTRanGer,0.6890692077578144,1.0572570667314596,1,-1,0,0
0,4,bLAND_bLACk,-1.5830918890979475,-1.392763223207289,-1,1,0,0
0,4,structure_mention,1.6404130280218108,3.7513317872997733,1,-1,0,0
0,4,friend_Koran,1.4596277603163381,0.40407028037178966,-1,1,0,0
0,4,beach_fur,0.2724814000118901,-0.6791003912959886,-1,1,0,0
0,4,NIce_bOUnCY,0.7828446779575104,3.5112506998272726,1,-1,0,0
0,4,nose_mArrvELouS,0.025296988568839416,-2.252334868574457,-1,1,0,0
0,4,REqUEst_ReCoGNise,-0.41085173404063163,4.122367840870528,1,-1,0,0
0,4,crowd_eat,3.4644257806227783,-2.181476207608314,-1,1,0,0
0,4,prr0teSt_intEnd,2.3404956186598462,2.364477505690643,1,-1,0,0
0,4,feature_dog,-0.7897691916334053,2.029158304615232,1,-1,0,0
0,4,GiraFFe_nEck,1.246941135940084,3.8921262091647004,1,-1,0,0
