38
picturesimilarity
11/14/2018	4:28:38 PM

Participant	Participant	Session	Block	Trial	Event	Participant		Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Response	Key	Response	Code	Time	Trial Answered
Main Group	38		ratings	Ratings, 1486	Image 1 (31, technology_burst.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 1486	Image 2 (46, rOSe_ENdUrabLE.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 1486	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	19495	
Main Group	38		ratings	Ratings, 1309	Image 1 (28, StrrAngEr_Dress.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 1309	Image 2 (13, nEed_mUg.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 1309	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	8539	
Main Group	38		ratings	Ratings, 1219	Image 1 (26, soap_marble.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 1219	Image 2 (19, requirement_circle.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 1219	rating scale	4	4	1; 2; 3; 4; 5; 6; 7	C	10597	
Main Group	38		ratings	Ratings, 287	Image 1 (6, crowd_eat.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 287	Image 2 (47, TAMe_ClASSY.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 287	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	32353	
Main Group	38		ratings	Ratings, 9	Image 1 (1, abject_urge.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 9	Image 2 (9, friend_Koran.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 9	rating scale	3	3	1; 2; 3; 4; 5; 6; 7	C	3147	
Main Group	38		ratings	Ratings, 1737	Image 1 (37, bOunDaRY_sTRanGer.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 1737	Image 2 (9, friend_Koran.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 1737	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	4921	
Main Group	38		ratings	Ratings, 1374	Image 1 (29, structure_mention.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 1374	Image 2 (30, tape_drop.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 1374	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	7976	
Main Group	38		ratings	Ratings, 1460	Image 1 (31, technology_burst.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 1460	Image 2 (20, riddle_grape.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 1460	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	6945	
Main Group	38		ratings	Ratings, 1747	Image 1 (37, bOunDaRY_sTRanGer.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 1747	Image 2 (19, requirement_circle.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 1747	rating scale	6	6	1; 2; 3; 4; 5; 6; 7	C	10385	
Main Group	38		ratings	Ratings, 1298	Image 1 (28, StrrAngEr_Dress.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 1298	Image 2 (2, afford_gutter.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 1298	rating scale	6	6	1; 2; 3; 4; 5; 6; 7	C	11612	
Main Group	38		ratings	Ratings, 800	Image 1 (17, publicity_commemorate.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 800	Image 2 (32, technology_circle.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 800	rating scale	2	2	1; 2; 3; 4; 5; 6; 7	C	5041	
Main Group	38		ratings	Ratings, 984	Image 1 (21, sausage_selection.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 984	Image 2 (24, shareholder_air.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 984	rating scale	3	3	1; 2; 3; 4; 5; 6; 7	C	4312	
Main Group	38		ratings	Ratings, 1532	Image 1 (32, technology_circle.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 1532	Image 2 (44, PoiSOnouS_aBsUrdLy.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 1532	rating scale	4	4	1; 2; 3; 4; 5; 6; 7	C	9361	
Main Group	38		ratings	Ratings, 438	Image 1 (10, GiraFFe_nEck.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 438	Image 2 (6, crowd_eat.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 438	rating scale	6	6	1; 2; 3; 4; 5; 6; 7	C	4531	
Main Group	38		ratings	Ratings, 169	Image 1 (4, boundary_head.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 169	Image 2 (25, simplistic_renew.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 169	rating scale	2	2	1; 2; 3; 4; 5; 6; 7	C	4882	
Main Group	38		ratings	Ratings, 1816	Image 1 (38, Clay_EnDlesS.jpg)			(any response)	NR	0	
Main Group	38		ratings	Ratings, 1816	Image 2 (40, fireCRaCker_bRIDgE.jpg)			(any response)	NR	0	
