23
picturesimilarity
11/13/2018	12:32:22 PM

Participant	Participant	Session	Block	Trial	Event	Participant		Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Response	Key	Response	Code	Time	Trial Answered
Main Group	23	23	ratings	Ratings, 569	Image 1 (44, PoiSOnouS_aBsUrdLy.jpg)			(any response)	NR	0	
Main Group	23	23	ratings	Ratings, 569	Image 2 (10, REqUEst_ReCoGNise.jpg)			(any response)	NR	0	
Main Group	23	23	ratings	Ratings, 569	rating scale	6	6	1; 2; 3; 4; 5; 6; 7	C	23356	
Main Group	23	23	ratings	Ratings, 132	Image 1 (11, hard-to-find_brush.jpg)			(any response)	NR	0	
Main Group	23	23	ratings	Ratings, 132	Image 2 (2, bOunDaRY_sTRanGer.jpg)			(any response)	NR	0	
Main Group	23	23	ratings	Ratings, 132	rating scale	6	6	1; 2; 3; 4; 5; 6; 7	C	6483	
Main Group	23	23	ratings	Ratings, 507	Image 1 (39, EaST_faMily.jpg)			(any response)	NR	0	
Main Group	23	23	ratings	Ratings, 507	Image 2 (13, thuNdEr_PeLViC.jpg)			(any response)	NR	0	
Main Group	23	23	ratings	Ratings, 507	rating scale	2	2	1; 2; 3; 4; 5; 6; 7	C	4102	
Main Group	23	23	ratings	Ratings, 571	Image 1 (44, PoiSOnouS_aBsUrdLy.jpg)			(any response)	NR	0	
Main Group	23	23	ratings	Ratings, 571	Image 2 (12, TAMe_ClASSY.jpg)			(any response)	NR	0	
Main Group	23	23	ratings	Ratings, 571	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	9591	
Main Group	23	23	ratings	Ratings, 520	Image 1 (40, fireCRaCker_bRIDgE.jpg)			(any response)	NR	0	
Main Group	23	23	ratings	Ratings, 520	Image 2 (13, thuNdEr_PeLViC.jpg)			(any response)	NR	0	
Main Group	23	23	ratings	Ratings, 520	rating scale	1	1	1; 2; 3; 4; 5; 6; 7	C	6110	
Main Group	23	23	ratings	Ratings, 66	Image 1 (6, crowd_eat.jpg)			(any response)	NR	0	
Main Group	23	23	ratings	Ratings, 66	Image 2 (1, bLAND_bLACk.jpg)			(any response)	NR	0	
Main Group	23	23	ratings	Ratings, 66	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	17298	
