06
picturesimilarity
11/7/2018	3:31:08 PM

Participant	Participant	Session	Block	Trial	Event	Participant		Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Response	Key	Response	Code	Time	Trial Answered
Main Group	06		ratings	Ratings, 236	Image 1 (7, destruction_conscience.jpg)			(any response)	NR	0	
Main Group	06		ratings	Ratings, 236	Image 2 (26, soap_marble.jpg)			(any response)	NR	0	
Main Group	06		ratings	Ratings, 236	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	8730	
Main Group	06		ratings	Ratings, 502	Image 1 (15, nose_mArrvELouS.jpg)			(any response)	NR	0	
Main Group	06		ratings	Ratings, 502	Image 2 (12, lily_inappropriate.jpg)			(any response)	NR	0	
Main Group	06		ratings	Ratings, 502	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	8745	
Main Group	06		ratings	Ratings, 973	Image 1 (28, StrrAngEr_Dress.jpg)			(any response)	NR	0	
Main Group	06		ratings	Ratings, 973	Image 2 (28, StrrAngEr_Dress.jpg)			(any response)	NR	0	
Main Group	06		ratings	Ratings, 973	rating scale	1	1	1; 2; 3; 4; 5; 6; 7	C	3587	
Main Group	06		ratings	Ratings, 605	Image 1 (18, QueUe_dApPer.jpg)			(any response)	NR	0	
Main Group	06		ratings	Ratings, 605	Image 2 (10, GiraFFe_nEck.jpg)			(any response)	NR	0	
Main Group	06		ratings	Ratings, 605	rating scale	6	6	1; 2; 3; 4; 5; 6; 7	C	12576	
Main Group	06		ratings	Ratings, 324	Image 1 (10, GiraFFe_nEck.jpg)			(any response)	NR	0	
Main Group	06		ratings	Ratings, 324	Image 2 (9, friend_Koran.jpg)			(any response)	NR	0	
Main Group	06		ratings	Ratings, 324	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	15513	
Main Group	06		ratings	Ratings, 955	Image 1 (28, StrrAngEr_Dress.jpg)			(any response)	NR	0	
Main Group	06		ratings	Ratings, 955	Image 2 (10, GiraFFe_nEck.jpg)			(any response)	NR	0	
Main Group	06		ratings	Ratings, 955	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	3358	
Main Group	06		ratings	Ratings, 956	Image 1 (28, StrrAngEr_Dress.jpg)			(any response)	NR	0	
Main Group	06		ratings	Ratings, 956	Image 2 (11, hard-to-find_brush.jpg)			(any response)	NR	0	
Main Group	06		ratings	Ratings, 956	rating scale	3	3	1; 2; 3; 4; 5; 6; 7	C	8005	
Main Group	06		ratings	Ratings, 752	Image 1 (22, sense_scandalous.jpg)			(any response)	NR	0	
Main Group	06		ratings	Ratings, 752	Image 2 (17, publicity_commemorate.jpg)			(any response)	NR	0	
Main Group	06		ratings	Ratings, 752	rating scale	6	6	1; 2; 3; 4; 5; 6; 7	C	9242	
Main Group	06		ratings	Ratings, 335	Image 1 (10, GiraFFe_nEck.jpg)			(any response)	NR	0	
Main Group	06		ratings	Ratings, 335	Image 2 (20, riddle_grape.jpg)			(any response)	NR	0	
Main Group	06		ratings	Ratings, 335	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	7673	
Main Group	06		ratings	Ratings, 1025	Image 1 (30, tape_drop.jpg)			(any response)	NR	0	
