20
picturesimilarity
11/13/2018	10:57:19 AM

Participant	Participant	Session	Block	Trial	Event	Participant		Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Response	Key	Response	Code	Time	Trial Answered
Main Group	20		ratings	Ratings, 53	Image 1 (5, cEmetErry_plAin.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 53	Image 2 (1, bLAND_bLACk.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 53	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	7465	
Main Group	20		ratings	Ratings, 466	Image 1 (36, bLAND_bLACk.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 466	Image 2 (11, rOSe_ENdUrabLE.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 466	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	2270	
Main Group	20		ratings	Ratings, 303	Image 1 (24, shareholder_air.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 303	Image 2 (4, EaST_faMily.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 303	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	2586	
Main Group	20		ratings	Ratings, 146	Image 1 (12, lily_inappropriate.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 146	Image 2 (3, Clay_EnDlesS.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 146	rating scale	3	3	1; 2; 3; 4; 5; 6; 7	C	2764	
Main Group	20		ratings	Ratings, 458	Image 1 (36, bLAND_bLACk.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 458	Image 2 (3, Clay_EnDlesS.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 458	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	1667	
Main Group	20		ratings	Ratings, 87	Image 1 (7, destruction_conscience.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 87	Image 2 (9, PoiSOnouS_aBsUrdLy.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 87	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	2438	
Main Group	20		ratings	Ratings, 552	Image 1 (43, PAinstAkINg_Thought.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 552	Image 2 (6, fUTure_data.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 552	rating scale	4	4	1; 2; 3; 4; 5; 6; 7	C	1677	
Main Group	20		ratings	Ratings, 317	Image 1 (25, simplistic_renew.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 317	Image 2 (5, fireCRaCker_bRIDgE.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 317	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	2122	
Main Group	20		ratings	Ratings, 279	Image 1 (22, sense_scandalous.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 279	Image 2 (6, fUTure_data.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 279	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	2017	
Main Group	20		ratings	Ratings, 199	Image 1 (16, prr0teSt_intEnd.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 199	Image 2 (4, EaST_faMily.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 199	rating scale	2	2	1; 2; 3; 4; 5; 6; 7	C	1858	
Main Group	20		ratings	Ratings, 376	Image 1 (29, structure_mention.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 376	Image 2 (12, TAMe_ClASSY.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 376	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	1690	
Main Group	20		ratings	Ratings, 452	Image 1 (35, wIld_ChEss.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 452	Image 2 (10, REqUEst_ReCoGNise.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 452	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	1048	
Main Group	20		ratings	Ratings, 276	Image 1 (22, sense_scandalous.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 276	Image 2 (3, Clay_EnDlesS.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 276	rating scale	4	4	1; 2; 3; 4; 5; 6; 7	C	1799	
Main Group	20		ratings	Ratings, 613	Image 1 (48, thuNdEr_PeLViC.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 613	Image 2 (2, bOunDaRY_sTRanGer.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 613	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	1516	
Main Group	20		ratings	Ratings, 234	Image 1 (18, QueUe_dApPer.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 234	Image 2 (13, thuNdEr_PeLViC.jpg)			(any response)	NR	0	
Main Group	20		ratings	Ratings, 234	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	1522	
Main Group	20		ratings	Ratings, 338	Image 1 (26, soap_marble.jpg)			(any response)	NR	0	
