30
picturesimilarity
11/14/2018	11:24:01 AM

Participant	Participant	Session	Block	Trial	Event	Participant		Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Response	Key	Response	Code	Time	Trial Answered
Main Group	30		ratings	Ratings, 268	Image 1 (6, crowd_eat.jpg)			(any response)	NR	0	
Main Group	30		ratings	Ratings, 268	Image 2 (28, StrrAngEr_Dress.jpg)			(any response)	NR	0	
Main Group	30		ratings	Ratings, 268	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	9293	
Main Group	30		ratings	Ratings, 825	Image 1 (18, QueUe_dApPer.jpg)			(any response)	NR	0	
Main Group	30		ratings	Ratings, 825	Image 2 (9, friend_Koran.jpg)			(any response)	NR	0	
Main Group	30		ratings	Ratings, 825	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	6888	
Main Group	30		ratings	Ratings, 1257	Image 1 (27, source_low.jpg)			(any response)	NR	0	
Main Group	30		ratings	Ratings, 1257	Image 2 (9, friend_Koran.jpg)			(any response)	NR	0	
Main Group	30		ratings	Ratings, 1257	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	4804	
Main Group	30		ratings	Ratings, 206	Image 1 (5, cEmetErry_plAin.jpg)			(any response)	NR	0	
Main Group	30		ratings	Ratings, 206	Image 2 (14, NIce_bOUnCY.jpg)			(any response)	NR	0	
Main Group	30		ratings	Ratings, 206	rating scale	4	4	1; 2; 3; 4; 5; 6; 7	C	7490	
Main Group	30		ratings	Ratings, 1300	Image 1 (28, StrrAngEr_Dress.jpg)			(any response)	NR	0	
Main Group	30		ratings	Ratings, 1300	Image 2 (4, boundary_head.jpg)			(any response)	NR	0	
Main Group	30		ratings	Ratings, 1300	rating scale	3	3	1; 2; 3; 4; 5; 6; 7	C	4012	
Main Group	30		ratings	Ratings, 670	Image 1 (14, NIce_bOUnCY.jpg)			(any response)	NR	0	
Main Group	30		ratings	Ratings, 670	Image 2 (46, rOSe_ENdUrabLE.jpg)			(any response)	NR	0	
Main Group	30		ratings	Ratings, 670	rating scale	6	6	1; 2; 3; 4; 5; 6; 7	C	5382	
Main Group	30		ratings	Ratings, 1219	Image 1 (26, soap_marble.jpg)			(any response)	NR	0	
Main Group	30		ratings	Ratings, 1219	Image 2 (19, requirement_circle.jpg)			(any response)	NR	0	
Main Group	30		ratings	Ratings, 1219	rating scale	3	3	1; 2; 3; 4; 5; 6; 7	C	4417	
Main Group	30		ratings	Ratings, 467	Image 1 (10, GiraFFe_nEck.jpg)			(any response)	NR	0	
Main Group	30		ratings	Ratings, 467	Image 2 (35, wIld_ChEss.jpg)			(any response)	NR	0	
Main Group	30		ratings	Ratings, 467	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	4152	
Main Group	30		ratings	Ratings, 400	Image 1 (9, friend_Koran.jpg)			(any response)	NR	0	
Main Group	30		ratings	Ratings, 400	Image 2 (16, prr0teSt_intEnd.jpg)			(any response)	NR	0	
Main Group	30		ratings	Ratings, 400	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	2694	
Main Group	30		ratings	Ratings, 1361	Image 1 (29, structure_mention.jpg)			(any response)	NR	0	
Main Group	30		ratings	Ratings, 1361	Image 2 (17, publicity_commemorate.jpg)			(any response)	NR	0	
Main Group	30		ratings	Ratings, 1361	rating scale	3	3	1; 2; 3; 4; 5; 6; 7	C	3714	
Main Group	30		ratings	Ratings, 602	Image 1 (13, nEed_mUg.jpg)			(any response)	NR	0	
Main Group	30		ratings	Ratings, 602	Image 2 (26, soap_marble.jpg)			(any response)	NR	0	
Main Group	30		ratings	Ratings, 602	rating scale	2	2	1; 2; 3; 4; 5; 6; 7	C	3335	
Main Group	30		ratings	Ratings, 1748	Image 1 (37, bOunDaRY_sTRanGer.jpg)			(any response)	NR	0	
Main Group	30		ratings	Ratings, 1748	Image 2 (20, riddle_grape.jpg)			(any response)	NR	0	
Main Group	30		ratings	Ratings, 1748	rating scale	3	3	1; 2; 3; 4; 5; 6; 7	C	2790	
