13
picturesimilarity
11/12/2018	11:02:42 AM

Participant	Participant	Session	Block	Trial	Event	Participant		Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Response	Key	Response	Code	Time	Trial Answered
Main Group	13		ratings	Ratings, 217	Image 1 (7, destruction_conscience.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 217	Image 2 (7, destruction_conscience.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 217	rating scale	1	1	1; 2; 3; 4; 5; 6; 7	C	13239	
Main Group	13		ratings	Ratings, 446	Image 1 (13, nEed_mUg.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 446	Image 2 (26, soap_marble.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 446	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	9224	
Main Group	13		ratings	Ratings, 933	Image 1 (27, source_low.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 933	Image 2 (23, serve_battlefield.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 933	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	2825	
Main Group	13		ratings	Ratings, 1137	Image 1 (33, trait_basket.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 1137	Image 2 (17, publicity_commemorate.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 1137	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	3776	
Main Group	13		ratings	Ratings, 909	Image 1 (26, soap_marble.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 909	Image 2 (34, TRANSpoRt_orgANIC.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 909	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	2494	
Main Group	13		ratings	Ratings, 295	Image 1 (9, friend_Koran.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 295	Image 2 (15, nose_mArrvELouS.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 295	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	5373	
Main Group	13		ratings	Ratings, 288	Image 1 (9, friend_Koran.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 288	Image 2 (8, feature_dog.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 288	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	11432	
Main Group	13		ratings	Ratings, 1065	Image 1 (31, technology_burst.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 1065	Image 2 (15, nose_mArrvELouS.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 1065	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	3321	
Main Group	13		ratings	Ratings, 282	Image 1 (9, friend_Koran.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 282	Image 2 (2, afford_gutter.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 282	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	4132	
Main Group	13		ratings	Ratings, 603	Image 1 (18, QueUe_dApPer.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 603	Image 2 (8, feature_dog.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 603	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	1720	
Main Group	13		ratings	Ratings, 1217	Image 1 (35, wIld_ChEss.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 1217	Image 2 (27, source_low.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 1217	rating scale	4	4	1; 2; 3; 4; 5; 6; 7	C	9407	
Main Group	13		ratings	Ratings, 1193	Image 1 (35, wIld_ChEss.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 1193	Image 2 (3, beach_fur.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 1193	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	2151	
Main Group	13		ratings	Ratings, 242	Image 1 (7, destruction_conscience.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 242	Image 2 (32, technology_circle.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 242	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	2976	
Main Group	13		ratings	Ratings, 1216	Image 1 (35, wIld_ChEss.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 1216	Image 2 (26, soap_marble.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 1216	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	7954	
Main Group	13		ratings	Ratings, 73	Image 1 (3, beach_fur.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 73	Image 2 (3, beach_fur.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 73	rating scale	1	1	1; 2; 3; 4; 5; 6; 7	C	5540	
Main Group	13		ratings	Ratings, 305	Image 1 (9, friend_Koran.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 305	Image 2 (25, simplistic_renew.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 305	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	3016	
Main Group	13		ratings	Ratings, 1185	Image 1 (34, TRANSpoRt_orgANIC.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 1185	Image 2 (30, tape_drop.jpg)			(any response)	NR	0	
Main Group	13		ratings	Ratings, 1185	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	2611	
Main Group	13		ratings	Ratings, 476	Image 1 (14, NIce_bOUnCY.jpg)			(any response)	NR	0	
