28
picturesimilarity
11/14/2018	10:56:32 AM

Participant	Participant	Session	Block	Trial	Event	Participant		Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Response	Key	Response	Code	Time	Trial Answered
Main Group	28		ratings	Ratings, 2123	Image 1 (45, REqUEst_ReCoGNise.jpg)			(any response)	NR	0	
Main Group	28		ratings	Ratings, 2123	Image 2 (11, hard-to-find_brush.jpg)			(any response)	NR	0	
Main Group	28		ratings	Ratings, 2123	rating scale	4	4	1; 2; 3; 4; 5; 6; 7	C	5165	
Main Group	28		ratings	Ratings, 1314	Image 1 (28, StrrAngEr_Dress.jpg)			(any response)	NR	0	
Main Group	28		ratings	Ratings, 1314	Image 2 (18, QueUe_dApPer.jpg)			(any response)	NR	0	
Main Group	28		ratings	Ratings, 1314	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	4555	
Main Group	28		ratings	Ratings, 61	Image 1 (2, afford_gutter.jpg)			(any response)	NR	0	
Main Group	28		ratings	Ratings, 61	Image 2 (13, nEed_mUg.jpg)			(any response)	NR	0	
Main Group	28		ratings	Ratings, 61	rating scale	4	4	1; 2; 3; 4; 5; 6; 7	C	2537	
Main Group	28		ratings	Ratings, 1111	Image 1 (24, shareholder_air.jpg)			(any response)	NR	0	
Main Group	28		ratings	Ratings, 1111	Image 2 (7, destruction_conscience.jpg)			(any response)	NR	0	
Main Group	28		ratings	Ratings, 1111	rating scale	6	6	1; 2; 3; 4; 5; 6; 7	C	1692	
Main Group	28		ratings	Ratings, 530	Image 1 (12, lily_inappropriate.jpg)			(any response)	NR	0	
Main Group	28		ratings	Ratings, 530	Image 2 (2, afford_gutter.jpg)			(any response)	NR	0	
Main Group	28		ratings	Ratings, 530	rating scale	4	4	1; 2; 3; 4; 5; 6; 7	C	3449	
Main Group	28		ratings	Ratings, 351	Image 1 (8, feature_dog.jpg)			(any response)	NR	0	
Main Group	28		ratings	Ratings, 351	Image 2 (15, nose_mArrvELouS.jpg)			(any response)	NR	0	
Main Group	28		ratings	Ratings, 351	rating scale	3	3	1; 2; 3; 4; 5; 6; 7	C	1896	
Main Group	28		ratings	Ratings, 128	Image 1 (3, beach_fur.jpg)			(any response)	NR	0	
Main Group	28		ratings	Ratings, 128	Image 2 (32, technology_circle.jpg)			(any response)	NR	0	
Main Group	28		ratings	Ratings, 128	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	1827	
Main Group	28		ratings	Ratings, 702	Image 1 (15, nose_mArrvELouS.jpg)			(any response)	NR	0	
Main Group	28		ratings	Ratings, 702	Image 2 (30, tape_drop.jpg)			(any response)	NR	0	
Main Group	28		ratings	Ratings, 702	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	1455	
Main Group	28		ratings	Ratings, 2068	Image 1 (44, PoiSOnouS_aBsUrdLy.jpg)			(any response)	NR	0	
Main Group	28		ratings	Ratings, 2068	Image 2 (4, boundary_head.jpg)			(any response)	NR	0	
Main Group	28		ratings	Ratings, 2068	rating scale	3	3	1; 2; 3; 4; 5; 6; 7	C	2328	
