32
picturesimilarity
11/14/2018	11:55:15 AM

Participant	Participant	Session	Block	Trial	Event	Participant		Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Response	Key	Response	Code	Time	Trial Answered
Main Group	32		ratings	Ratings, 663	Image 1 (14, NIce_bOUnCY.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 663	Image 2 (39, EaST_faMily.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 663	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	4651	
Main Group	32		ratings	Ratings, 1939	Image 1 (41, fUTure_data.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 1939	Image 2 (19, requirement_circle.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 1939	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	2292	
Main Group	32		ratings	Ratings, 1967	Image 1 (41, fUTure_data.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 1967	Image 2 (47, TAMe_ClASSY.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 1967	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	1399	
Main Group	32		ratings	Ratings, 1154	Image 1 (25, simplistic_renew.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 1154	Image 2 (2, afford_gutter.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 1154	rating scale	4	4	1; 2; 3; 4; 5; 6; 7	C	2995	
Main Group	32		ratings	Ratings, 440	Image 1 (10, GiraFFe_nEck.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 440	Image 2 (8, feature_dog.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 440	rating scale	4	4	1; 2; 3; 4; 5; 6; 7	C	2528	
Main Group	32		ratings	Ratings, 1558	Image 1 (33, trait_basket.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 1558	Image 2 (22, sense_scandalous.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 1558	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	1878	
Main Group	32		ratings	Ratings, 1742	Image 1 (37, bOunDaRY_sTRanGer.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 1742	Image 2 (14, NIce_bOUnCY.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 1742	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	1440	
Main Group	32		ratings	Ratings, 1159	Image 1 (25, simplistic_renew.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 1159	Image 2 (7, destruction_conscience.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 1159	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	1197	
Main Group	32		ratings	Ratings, 388	Image 1 (9, friend_Koran.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 388	Image 2 (4, boundary_head.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 388	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	882	
Main Group	32		ratings	Ratings, 1493	Image 1 (32, technology_circle.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 1493	Image 2 (5, cEmetErry_plAin.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 1493	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	797	
Main Group	32		ratings	Ratings, 2160	Image 1 (45, REqUEst_ReCoGNise.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 2160	Image 2 (48, thuNdEr_PeLViC.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 2160	rating scale	1	1	1; 2; 3; 4; 5; 6; 7	C	1818	
Main Group	32		ratings	Ratings, 101	Image 1 (3, beach_fur.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 101	Image 2 (5, cEmetErry_plAin.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 101	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	1552	
Main Group	32		ratings	Ratings, 1381	Image 1 (29, structure_mention.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 1381	Image 2 (37, bOunDaRY_sTRanGer.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 1381	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	752	
Main Group	32		ratings	Ratings, 157	Image 1 (4, boundary_head.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 157	Image 2 (13, nEed_mUg.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 157	rating scale	3	3	1; 2; 3; 4; 5; 6; 7	C	1942	
Main Group	32		ratings	Ratings, 341	Image 1 (8, feature_dog.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 341	Image 2 (5, cEmetErry_plAin.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 341	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	1648	
Main Group	32		ratings	Ratings, 1225	Image 1 (26, soap_marble.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 1225	Image 2 (25, simplistic_renew.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 1225	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	2094	
Main Group	32		ratings	Ratings, 1252	Image 1 (27, source_low.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 1252	Image 2 (4, boundary_head.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 1252	rating scale	4	4	1; 2; 3; 4; 5; 6; 7	C	1701	
Main Group	32		ratings	Ratings, 1343	Image 1 (28, StrrAngEr_Dress.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 1343	Image 2 (47, TAMe_ClASSY.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 1343	rating scale	5	5	1; 2; 3; 4; 5; 6; 7	C	1834	
Main Group	32		ratings	Ratings, 1636	Image 1 (35, wIld_ChEss.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 1636	Image 2 (4, boundary_head.jpg)			(any response)	NR	0	
Main Group	32		ratings	Ratings, 1636	rating scale	7	7	1; 2; 3; 4; 5; 6; 7	C	1615	
