ctrl,block,picture_name,x1,t1,t2,m1
0,1,Clay_EnDlesS,-2.5567007333187926,-1,1,0
0,1,technology_burst,2.646767383633703,1,-1,0
0,1,sausage_selection,5.82078708420157,1,-1,0
0,1,serve_battlefield,-1.597851719179132,-1,1,0
0,1,nEed_mUg,-2.819304092418769,1,-1,0
0,1,sense_scandalous,-2.1452518147366426,-1,1,0
0,1,REqUEst_ReCoGNise,-0.41085173404063613,-1,1,0
1,1,beach_fur,0.272481400011892,1,-1,0
0,1,EaST_faMily,1.995105850184067,1,-1,0
0,1,fireCRaCker_bRIDgE,0.21956557414137381,-1,1,0
0,1,nose_mArrvELouS,0.025296988568845685,-1,1,0
0,1,tape_drop,-1.736708446789136,-1,1,0
0,1,wIld_ChEss,-4.1393577757560065,1,-1,0
0,1,soap_marble,-2.8071126902188794,1,-1,0
0,1,PoiSOnouS_aBsUrdLy,-2.3713080854873465,1,-1,0
0,1,TAMe_ClASSY,1.9760335683243049,-1,1,0
0,1,NIce_bOUnCY,0.7828446779575062,1,-1,0
0,1,bOunDaRY_sTRanGer,0.6890692077578117,-1,1,0
0,2,Clay_EnDlesS,-2.5567007333187926,-1,1,0
0,2,sense_scandalous,-2.1452518147366426,-1,1,0
0,2,NIce_bOUnCY,0.7828446779575062,1,-1,0
0,2,sausage_selection,5.82078708420157,1,-1,0
0,2,TAMe_ClASSY,1.9760335683243049,-1,1,0
0,2,EaST_faMily,1.995105850184067,1,-1,0
0,2,PoiSOnouS_aBsUrdLy,-2.3713080854873465,1,-1,0
0,2,soap_marble,-2.8071126902188794,1,-1,0
0,2,bOunDaRY_sTRanGer,0.6890692077578117,-1,1,0
0,2,serve_battlefield,-1.597851719179132,-1,1,0
0,2,REqUEst_ReCoGNise,-0.41085173404063613,-1,1,0
0,2,nose_mArrvELouS,0.025296988568845685,-1,1,0
0,2,beach_fur,0.272481400011892,1,-1,0
0,2,nEed_mUg,-2.819304092418769,1,-1,0
0,2,technology_burst,2.646767383633703,1,-1,0
0,2,wIld_ChEss,-4.1393577757560065,1,-1,0
0,2,tape_drop,-1.736708446789136,-1,1,0
0,2,fireCRaCker_bRIDgE,0.21956557414137381,-1,1,0
0,3,Clay_EnDlesS,-2.5567007333187926,-1,1,0
0,3,nEed_mUg,-2.819304092418769,1,-1,0
0,3,sense_scandalous,-2.1452518147366426,-1,1,0
0,3,PoiSOnouS_aBsUrdLy,-2.3713080854873465,1,-1,0
0,3,soap_marble,-2.8071126902188794,1,-1,0
0,3,beach_fur,0.272481400011892,1,-1,0
0,3,EaST_faMily,1.995105850184067,1,-1,0
0,3,bOunDaRY_sTRanGer,0.6890692077578117,-1,1,0
0,3,technology_burst,2.646767383633703,1,-1,0
0,3,sausage_selection,5.82078708420157,1,-1,0
0,3,wIld_ChEss,-4.1393577757560065,1,-1,0
0,3,TAMe_ClASSY,1.9760335683243049,-1,1,0
0,3,NIce_bOUnCY,0.7828446779575062,1,-1,0
0,3,tape_drop,-1.736708446789136,-1,1,0
0,3,fireCRaCker_bRIDgE,0.21956557414137381,-1,1,0
0,3,nose_mArrvELouS,0.025296988568845685,-1,1,0
0,3,serve_battlefield,-1.597851719179132,-1,1,0
0,3,REqUEst_ReCoGNise,-0.41085173404063613,-1,1,0
0,4,Clay_EnDlesS,-2.5567007333187926,-1,1,0
0,4,NIce_bOUnCY,0.7828446779575062,1,-1,0
0,4,sense_scandalous,-2.1452518147366426,-1,1,0
0,4,bOunDaRY_sTRanGer,0.6890692077578117,-1,1,0
0,4,technology_burst,2.646767383633703,1,-1,0
0,4,sausage_selection,5.82078708420157,1,-1,0
0,4,PoiSOnouS_aBsUrdLy,-2.3713080854873465,1,-1,0
0,4,nEed_mUg,-2.819304092418769,1,-1,0
0,4,soap_marble,-2.8071126902188794,1,-1,0
0,4,wIld_ChEss,-4.1393577757560065,1,-1,0
0,4,tape_drop,-1.736708446789136,-1,1,0
0,4,REqUEst_ReCoGNise,-0.41085173404063613,-1,1,0
0,4,fireCRaCker_bRIDgE,0.21956557414137381,-1,1,0
0,4,serve_battlefield,-1.597851719179132,-1,1,0
0,4,nose_mArrvELouS,0.025296988568845685,-1,1,0
0,4,EaST_faMily,1.995105850184067,1,-1,0
0,4,TAMe_ClASSY,1.9760335683243049,-1,1,0
0,4,beach_fur,0.272481400011892,1,-1,0
0,5,technology_burst,2.646767383633703,1,-1,0
0,5,bOunDaRY_sTRanGer,0.6890692077578117,-1,1,0
0,5,REqUEst_ReCoGNise,-0.41085173404063613,-1,1,0
0,5,PoiSOnouS_aBsUrdLy,-2.3713080854873465,1,-1,0
0,5,Clay_EnDlesS,-2.5567007333187926,-1,1,0
0,5,NIce_bOUnCY,0.7828446779575062,1,-1,0
0,5,wIld_ChEss,-4.1393577757560065,1,-1,0
0,5,sense_scandalous,-2.1452518147366426,-1,1,0
0,5,sausage_selection,5.82078708420157,1,-1,0
0,5,fireCRaCker_bRIDgE,0.21956557414137381,-1,1,0
0,5,tape_drop,-1.736708446789136,-1,1,0
0,5,EaST_faMily,1.995105850184067,1,-1,0
0,5,TAMe_ClASSY,1.9760335683243049,-1,1,0
0,5,beach_fur,0.272481400011892,1,-1,0
0,5,serve_battlefield,-1.597851719179132,-1,1,0
0,5,nose_mArrvELouS,0.025296988568845685,-1,1,0
0,5,nEed_mUg,-2.819304092418769,1,-1,0
0,5,soap_marble,-2.8071126902188794,1,-1,0
0,6,bOunDaRY_sTRanGer,0.6890692077578117,-1,1,0
0,6,serve_battlefield,-1.597851719179132,-1,1,0
