"o.1.1" "o.2.1" "o.3.1" "o.4.1" "o.5.1" "o.6.1" "o.7.1" "o.8.1" "o.9.1" "o.10.1" "o.11.1" "o.12.1" "o.13.1" "o.14.1" "o.15.1" "o.16.1" "o.17.1" "o.18.1" "o.19.1" "o.20.1" "o.21.1" "o.1.2" "o.2.2" "o.3.2" "o.4.2" "o.5.2" "o.6.2" "o.7.2" "o.8.2" "o.9.2" "o.10.2" "o.11.2" "o.12.2" "o.13.2" "o.14.2" "o.15.2" "o.16.2" "o.17.2" "o.18.2" "o.19.2" "o.20.2" "o.21.2"
"1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
