N-44
cumby-harlan
2/5/2019	3:50:30 PM

Participant	Participant	Session	Block	Trial	Event	Participant		Pressed Or	Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Response	Key	Released	Response	Code	Time	Trial Answered	Categories	average
Main Group	N-44	N-44	Training	Near, 1	Near (1, afford_gutter.jpg)	Harlan	'	Pressed	(based on tag)	E	7336		Cumby	undefined
Main Group	N-44	N-44	Training	Near, 8	Near (8, REqUEst_ReCoGNise.jpg)	Harlan	'	Pressed	(based on tag)	E	2874		Cumby	undefined
Main Group	N-44	N-44	Training	Near, 2	Near (2, bOunDaRY_sTRanGer.jpg)	Harlan	'	Pressed	(based on tag)	E	2819		Cumby	undefined
Main Group	N-44	N-44	Training	Near, 9	Near (9, structure_mention.jpg)	Harlan	'	Pressed	(based on tag)	E	1693		Cumby	undefined
Main Group	N-44	N-44	Training	Near, 11	Near (11, bLAND_bLACk.jpg)	Cumby	a	Pressed	(based on tag)	E	2543		Harlan	undefined
Main Group	N-44	N-44	Training	Near, 17	Near (17, serve_battlefield.jpg)	Harlan	'	Pressed	(based on tag)	C	2430		Harlan	undefined
Main Group	N-44	N-44	Training	Near, 7	Near (7, QueUe_dApPer.jpg)	Harlan	'	Pressed	(based on tag)	E	1328		Cumby	undefined
Main Group	N-44	N-44	Training	Near, 4	Near (4, GiraFFe_nEck.jpg)	Cumby	a	Pressed	(based on tag)	C	5807		Cumby	undefined
Main Group	N-44	N-44	Training	Near, 13	Near (13, crowd_eat.jpg)	Cumby	a	Pressed	(based on tag)	E	1627		Harlan	undefined
Main Group	N-44	N-44	Training	Near, 12	Near (12, cEmetErry_plAin.jpg)	Harlan	'	Pressed	(based on tag)	C	1147		Harlan	undefined
Main Group	N-44	N-44	Training	Near, 3	Near (3, feature_dog.jpg)	Cumby	a	Pressed	(based on tag)	C	1573		Cumby	undefined
Main Group	N-44	N-44	Training	Near, 16	Near (16, nose_mArrvELouS.jpg)	Harlan	'	Pressed	(based on tag)	C	4001		Harlan	undefined
Main Group	N-44	N-44	Training	Near, 14	Near (14, destruction_conscience.jpg)	Harlan	'	Pressed	(based on tag)	C	2397		Harlan	undefined
Main Group	N-44	N-44	Training	Near, 15	Near (15, friend_Koran.jpg)	Cumby	a	Pressed	(based on tag)	E	1045		Harlan	undefined
Main Group	N-44	N-44	Training	Near, 18	Near (18, TAMe_ClASSY.jpg)	Cumby	a	Pressed	(based on tag)	E	1032		Harlan	undefined
Main Group	N-44	N-44	Training	Near, 10	Near (10, beach_fur.jpg)	Harlan	'	Pressed	(based on tag)	C	1465		Harlan	undefined
Main Group	N-44	N-44	Training	Near, 5	Near (5, NIce_bOUnCY.jpg)	Cumby	a	Pressed	(based on tag)	C	1210		Cumby	undefined
Main Group	N-44	N-44	Training	Near, 6	Near (6, prr0teSt_intEnd.jpg)	Cumby	a	Pressed	(based on tag)	C	946		Cumby	undefined
Main Group	N-44	N-44	Training	Near, 15	Near (15, friend_Koran.jpg)	Harlan	'	Pressed	(based on tag)	C	1125		Harlan	undefined
Main Group	N-44	N-44	Training	Near, 8	Near (8, REqUEst_ReCoGNise.jpg)	Harlan	'	Pressed	(based on tag)	E	845		Cumby	undefined
Main Group	N-44	N-44	Training	Near, 2	Near (2, bOunDaRY_sTRanGer.jpg)	Cumby	a	Pressed	(based on tag)	C	1272		Cumby	undefined
Main Group	N-44	N-44	Training	Near, 7	Near (7, QueUe_dApPer.jpg)	Cumby	a	Pressed	(based on tag)	C	2934		Cumby	undefined
Main Group	N-44	N-44	Training	Near, 17	Near (17, serve_battlefield.jpg)	Cumby	a	Pressed	(based on tag)	E	1081		Harlan	undefined
Main Group	N-44	N-44	Training	Near, 10	Near (10, beach_fur.jpg)	Cumby	a	Pressed	(based on tag)	E	2472		Harlan	undefined
Main Group	N-44	N-44	Training	Near, 11	Near (11, bLAND_bLACk.jpg)	Harlan	'	Pressed	(based on tag)	C	1061		Harlan	undefined
Main Group	N-44	N-44	Training	Near, 13	Near (13, crowd_eat.jpg)	Cumby	a	Pressed	(based on tag)	E	1045		Harlan	undefined
Main Group	N-44	N-44	Training	Near, 4	Near (4, GiraFFe_nEck.jpg)	Cumby	a	Pressed	(based on tag)	C	2480		Cumby	undefined
Main Group	N-44	N-44	Training	Near, 12	Near (12, cEmetErry_plAin.jpg)	Cumby	a	Pressed	(based on tag)	E	2512		Harlan	undefined
Main Group	N-44	N-44	Training	Near, 1	Near (1, afford_gutter.jpg)	Cumby	a	Pressed	(based on tag)	C	7516		Cumby	undefined
Main Group	N-44	N-44	Training	Near, 18	Near (18, TAMe_ClASSY.jpg)	Cumby	a	Pressed	(based on tag)	E	1769		Harlan	undefined
