F-37
cumby-harlan
1/31/2019	12:29:04 PM

Participant	Participant	Session	Block	Trial	Event	Participant		Pressed Or	Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Response	Key	Released	Response	Code	Time	Trial Answered	Categories	average
Main Group	F-37	F-37	Training	Far, 13	Far (13, nEed_mUg.jpg)	Harlan	'	Pressed	(based on tag)	C	9418		Harlan	undefined
Main Group	F-37	F-37	Training	Far, 1	Far (1, afford_gutter.jpg)	Cumby	a	Pressed	(based on tag)	C	2882		Cumby	undefined
Main Group	F-37	F-37	Training	Far, 6	Far (6, prr0teSt_intEnd.jpg)	Cumby	a	Pressed	(based on tag)	C	2491		Cumby	undefined
Main Group	F-37	F-37	Training	Far, 11	Far (11, GlOsSy_cEAsELEss.jpg)	Harlan	'	Pressed	(based on tag)	C	1987		Harlan	undefined
Main Group	F-37	F-37	Training	Far, 15	Far (15, shareholder_air.jpg)	Harlan	'	Pressed	(based on tag)	C	2114		Harlan	undefined
Main Group	F-37	F-37	Training	Far, 5	Far (5, NIce_bOUnCY.jpg)	Cumby	a	Pressed	(based on tag)	C	1325		Cumby	undefined
Main Group	F-37	F-37	Training	Far, 2	Far (2, bOunDaRY_sTRanGer.jpg)	Harlan	'	Pressed	(based on tag)	E	1207		Cumby	undefined
Main Group	F-37	F-37	Training	Far, 7	Far (7, QueUe_dApPer.jpg)	Cumby	a	Pressed	(based on tag)	C	1443		Cumby	undefined
Main Group	F-37	F-37	Training	Far, 8	Far (8, REqUEst_ReCoGNise.jpg)	Cumby	a	Pressed	(based on tag)	C	1800		Cumby	undefined
Main Group	F-37	F-37	Training	Far, 4	Far (4, GiraFFe_nEck.jpg)	Harlan	'	Pressed	(based on tag)	E	1279		Cumby	undefined
Main Group	F-37	F-37	Training	Far, 3	Far (3, feature_dog.jpg)	Harlan	'	Pressed	(based on tag)	E	1185		Cumby	undefined
Main Group	F-37	F-37	Training	Far, 10	Far (10, Clay_EnDlesS.jpg)	Harlan	'	Pressed	(based on tag)	C	1733		Harlan	undefined
Main Group	F-37	F-37	Training	Far, 14	Far (14, sense_scandalous.jpg)	Harlan	'	Pressed	(based on tag)	C	1555		Harlan	undefined
Main Group	F-37	F-37	Training	Far, 12	Far (12, hard-to-find_brush.jpg)	Harlan	'	Pressed	(based on tag)	C	4487		Harlan	undefined
Main Group	F-37	F-37	Training	Far, 9	Far (9, structure_mention.jpg)	Cumby	a	Pressed	(based on tag)	C	875		Cumby	undefined
Main Group	F-37	F-37	Training	Far, 17	Far (17, source_low.jpg)	Harlan	'	Pressed	(based on tag)	C	6441		Harlan	undefined
Main Group	F-37	F-37	Training	Far, 18	Far (18, wIld_ChEss.jpg)	Harlan	'	Pressed	(based on tag)	C	4853		Harlan	undefined
Main Group	F-37	F-37	Training	Far, 16	Far (16, soap_marble.jpg)	Harlan	'	Pressed	(based on tag)	C	1235		Harlan	undefined
Main Group	F-37	F-37	Training	Far, 11	Far (11, GlOsSy_cEAsELEss.jpg)	Harlan	'	Pressed	(based on tag)	C	1227		Harlan	undefined
Main Group	F-37	F-37	Training	Far, 7	Far (7, QueUe_dApPer.jpg)	Cumby	a	Pressed	(based on tag)	C	1160		Cumby	undefined
Main Group	F-37	F-37	Training	Far, 9	Far (9, structure_mention.jpg)	Cumby	a	Pressed	(based on tag)	C	1232		Cumby	undefined
Main Group	F-37	F-37	Training	Far, 5	Far (5, NIce_bOUnCY.jpg)	Cumby	a	Pressed	(based on tag)	C	1232		Cumby	undefined
Main Group	F-37	F-37	Training	Far, 15	Far (15, shareholder_air.jpg)	Harlan	'	Pressed	(based on tag)	C	2028		Harlan	undefined
Main Group	F-37	F-37	Training	Far, 4	Far (4, GiraFFe_nEck.jpg)	Cumby	a	Pressed	(based on tag)	C	1485		Cumby	undefined
Main Group	F-37	F-37	Training	Far, 17	Far (17, source_low.jpg)	Harlan	'	Pressed	(based on tag)	C	1246		Harlan	undefined
Main Group	F-37	F-37	Training	Far, 8	Far (8, REqUEst_ReCoGNise.jpg)	Cumby	a	Pressed	(based on tag)	C	2118		Cumby	undefined
Main Group	F-37	F-37	Training	Far, 2	Far (2, bOunDaRY_sTRanGer.jpg)	Harlan	'	Pressed	(based on tag)	E	852		Cumby	undefined
Main Group	F-37	F-37	Training	Far, 16	Far (16, soap_marble.jpg)	Harlan	'	Pressed	(based on tag)	C	3686		Harlan	undefined
