F-40
cumby-harlan
2/4/2019	10:44:25 AM

Participant	Participant	Session	Block	Trial	Event	Participant		Pressed Or	Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Response	Key	Released	Response	Code	Time	Trial Answered	Categories	average
Main Group	F-40	F-40	Training	Far, 2	Far (2, bOunDaRY_sTRanGer.jpg)	Harlan	'	Pressed	(based on tag)	E	46742		Cumby	undefined
Main Group	F-40	F-40	Training	Far, 14	Far (14, sense_scandalous.jpg)	Cumby	a	Pressed	(based on tag)	E	889		Harlan	undefined
Main Group	F-40	F-40	Training	Far, 6	Far (6, prr0teSt_intEnd.jpg)	Harlan	'	Pressed	(based on tag)	E	4644		Cumby	undefined
Main Group	F-40	F-40	Training	Far, 4	Far (4, GiraFFe_nEck.jpg)	Harlan	'	Pressed	(based on tag)	E	714		Cumby	undefined
Main Group	F-40	F-40	Training	Far, 11	Far (11, GlOsSy_cEAsELEss.jpg)	Cumby	a	Pressed	(based on tag)	E	917		Harlan	undefined
Main Group	F-40	F-40	Training	Far, 13	Far (13, nEed_mUg.jpg)	Cumby	a	Pressed	(based on tag)	E	1797		Harlan	undefined
Main Group	F-40	F-40	Training	Far, 15	Far (15, shareholder_air.jpg)	Harlan	'	Pressed	(based on tag)	C	666		Harlan	undefined
Main Group	F-40	F-40	Training	Far, 7	Far (7, QueUe_dApPer.jpg)	Harlan	'	Pressed	(based on tag)	E	1518		Cumby	undefined
Main Group	F-40	F-40	Training	Far, 8	Far (8, REqUEst_ReCoGNise.jpg)	Cumby	a	Pressed	(based on tag)	C	1226		Cumby	undefined
Main Group	F-40	F-40	Training	Far, 1	Far (1, afford_gutter.jpg)	Cumby	a	Pressed	(based on tag)	C	2370		Cumby	undefined
Main Group	F-40	F-40	Training	Far, 5	Far (5, NIce_bOUnCY.jpg)	Harlan	'	Pressed	(based on tag)	E	1105		Cumby	undefined
Main Group	F-40	F-40	Training	Far, 18	Far (18, wIld_ChEss.jpg)	Cumby	a	Pressed	(based on tag)	E	828		Harlan	undefined
Main Group	F-40	F-40	Training	Far, 10	Far (10, Clay_EnDlesS.jpg)	Harlan	'	Pressed	(based on tag)	C	1216		Harlan	undefined
Main Group	F-40	F-40	Training	Far, 9	Far (9, structure_mention.jpg)	Cumby	a	Pressed	(based on tag)	C	1124		Cumby	undefined
Main Group	F-40	F-40	Training	Far, 16	Far (16, soap_marble.jpg)	Harlan	'	Pressed	(based on tag)	C	2221		Harlan	undefined
Main Group	F-40	F-40	Training	Far, 17	Far (17, source_low.jpg)	Cumby	a	Pressed	(based on tag)	E	902		Harlan	undefined
Main Group	F-40	F-40	Training	Far, 3	Far (3, feature_dog.jpg)	Cumby	a	Pressed	(based on tag)	C	1496		Cumby	undefined
Main Group	F-40	F-40	Training	Far, 12	Far (12, hard-to-find_brush.jpg)	Harlan	'	Pressed	(based on tag)	C	929		Harlan	undefined
Main Group	F-40	F-40	Training	Far, 12	Far (12, hard-to-find_brush.jpg)	Harlan	'	Pressed	(based on tag)	C	602		Harlan	undefined
Main Group	F-40	F-40	Training	Far, 18	Far (18, wIld_ChEss.jpg)	Harlan	'	Pressed	(based on tag)	C	791		Harlan	undefined
Main Group	F-40	F-40	Training	Far, 3	Far (3, feature_dog.jpg)	Harlan	'	Pressed	(based on tag)	E	1826		Cumby	undefined
Main Group	F-40	F-40	Training	Far, 14	Far (14, sense_scandalous.jpg)	Harlan	'	Pressed	(based on tag)	C	1042		Harlan	undefined
Main Group	F-40	F-40	Training	Far, 15	Far (15, shareholder_air.jpg)	Cumby	a	Pressed	(based on tag)	E	895		Harlan	undefined
Main Group	F-40	F-40	Training	Far, 2	Far (2, bOunDaRY_sTRanGer.jpg)	Ok	 	Pressed	(based on tag)	E	1144		Cumby	undefined
Main Group	F-40	F-40	Training	Far, 2	Far (2, bOunDaRY_sTRanGer.jpg)	Ok	 	Pressed	(based on tag)	E	46		Cumby	undefined
Main Group	F-40	F-40	Training	Far, 2	Far (2, bOunDaRY_sTRanGer.jpg)	Cumby	a	Pressed	(based on tag)	SC	2194		Cumby	undefined
Main Group	F-40	F-40	Training	Far, 17	Far (17, source_low.jpg)	Cumby	a	Pressed	(based on tag)	E	1446		Harlan	undefined
Main Group	F-40	F-40	Training	Far, 8	Far (8, REqUEst_ReCoGNise.jpg)	Harlan	'	Pressed	(based on tag)	E	1097		Cumby	undefined
Main Group	F-40	F-40	Training	Far, 4	Far (4, GiraFFe_nEck.jpg)	Cumby	a	Pressed	(based on tag)	C	2302		Cumby	undefined
