ctrl,block,picture_name,x1,x2,x3,x4,t1,t2,m1,m2,m3,m4
1,1,GiraFFe_nEck,1.246941135940084,3.8921262091647004,-0.18739697773108563,-0.8740265465228294,1,-1,0,0,0,0
0,1,QueUe_dApPer,0.6288818382489025,5.194534790099107,1.9972514014430376,0.40050487836843807,1,-1,0,0,0,0
0,1,NIce_bOUnCY,0.7828446779575104,3.5112506998272726,-1.539436158792307,-1.1193435240879241,1,-1,0,0,0,0
0,1,feature_dog,-0.7897691916334053,2.029158304615232,0.18050709819193927,-2.56460940920617,1,-1,0,0,0,0
0,1,structure_mention,1.6404130280218108,3.7513317872997733,0.5054849981632412,-1.195898732505985,1,-1,0,0,0,0
0,1,REqUEst_ReCoGNise,-0.41085173404063163,4.122367840870528,1.3318543275160661,-0.8928581809573074,1,-1,0,0,0,0
0,1,afford_gutter,2.6913819968444823,1.9946872923253605,0.2634832920905385,2.0709416829624616,1,-1,0,0,0,0
0,1,prr0teSt_intEnd,2.3404956186598462,2.364477505690643,2.808005610308732,2.525663643382217,1,-1,0,0,0,0
0,1,bOunDaRY_sTRanGer,0.6890692077578144,1.0572570667314596,-0.698196333087968,-1.8228796380538048,1,-1,0,0,0,0
0,1,hard-to-find_brush,-2.2437369584826476,-2.5625147545380975,1.5468966566670008,-1.49137923830374,-1,1,0,0,0,0
0,1,source_low,-1.6484576544256644,-2.3311780572146383,-2.032786301052916,-0.6595745847567935,-1,1,0,0,0,0
0,1,GlOsSy_cEAsELEss,-2.0921412988008714,0.3238363325654642,1.8544242480416342,0.7780836241805685,-1,1,0,0,0,0
0,1,Clay_EnDlesS,-2.556700733318796,-1.9462904232704301,2.5425888408787993,4.218134231321718,-1,1,0,0,0,0
0,1,shareholder_air,-1.8742099669195342,-1.8147641090119166,-1.107550610716708,1.0432287282134733,-1,1,0,0,0,0
0,1,nEed_mUg,-2.8193040924187724,-1.9068951761598156,-0.7759368749766459,3.3490742858097136,-1,1,0,0,0,0
0,1,sense_scandalous,-2.1452518147366453,-1.5525624167719425,-0.48044065317895585,2.1645973796985896,-1,1,0,0,0,0
0,1,soap_marble,-2.807112690218886,-2.6638284063898805,2.318138126188662,1.5345464197806558,-1,1,0,0,0,0
0,1,wIld_ChEss,-4.1393577757560145,-2.0541956626486737,1.1665479094512274,-0.9631267932539873,-1,1,0,0,0,0
0,2,GiraFFe_nEck,1.246941135940084,3.8921262091647004,-0.18739697773108563,-0.8740265465228294,1,-1,0,0,0,0
0,2,REqUEst_ReCoGNise,-0.41085173404063163,4.122367840870528,1.3318543275160661,-0.8928581809573074,1,-1,0,0,0,0
0,2,NIce_bOUnCY,0.7828446779575104,3.5112506998272726,-1.539436158792307,-1.1193435240879241,1,-1,0,0,0,0
0,2,afford_gutter,2.6913819968444823,1.9946872923253605,0.2634832920905385,2.0709416829624616,1,-1,0,0,0,0
0,2,feature_dog,-0.7897691916334053,2.029158304615232,0.18050709819193927,-2.56460940920617,1,-1,0,0,0,0
0,2,structure_mention,1.6404130280218108,3.7513317872997733,0.5054849981632412,-1.195898732505985,1,-1,0,0,0,0
0,2,sense_scandalous,-2.1452518147366453,-1.5525624167719425,-0.48044065317895585,2.1645973796985896,-1,1,0,0,0,0
0,2,source_low,-1.6484576544256644,-2.3311780572146383,-2.032786301052916,-0.6595745847567935,-1,1,0,0,0,0
0,2,QueUe_dApPer,0.6288818382489025,5.194534790099107,1.9972514014430376,0.40050487836843807,1,-1,0,0,0,0
0,2,prr0teSt_intEnd,2.3404956186598462,2.364477505690643,2.808005610308732,2.525663643382217,1,-1,0,0,0,0
0,2,hard-to-find_brush,-2.2437369584826476,-2.5625147545380975,1.5468966566670008,-1.49137923830374,-1,1,0,0,0,0
0,2,wIld_ChEss,-4.1393577757560145,-2.0541956626486737,1.1665479094512274,-0.9631267932539873,-1,1,0,0,0,0
0,2,shareholder_air,-1.8742099669195342,-1.8147641090119166,-1.107550610716708,1.0432287282134733,-1,1,0,0,0,0
0,2,nEed_mUg,-2.8193040924187724,-1.9068951761598156,-0.7759368749766459,3.3490742858097136,-1,1,0,0,0,0
0,2,bOunDaRY_sTRanGer,0.6890692077578144,1.0572570667314596,-0.698196333087968,-1.8228796380538048,1,-1,0,0,0,0
0,2,GlOsSy_cEAsELEss,-2.0921412988008714,0.3238363325654642,1.8544242480416342,0.7780836241805685,-1,1,0,0,0,0
0,2,Clay_EnDlesS,-2.556700733318796,-1.9462904232704301,2.5425888408787993,4.218134231321718,-1,1,0,0,0,0
0,2,soap_marble,-2.807112690218886,-2.6638284063898805,2.318138126188662,1.5345464197806558,-1,1,0,0,0,0
0,3,soap_marble,-2.807112690218886,-2.6638284063898805,2.318138126188662,1.5345464197806558,-1,1,0,0,0,0
0,3,nEed_mUg,-2.8193040924187724,-1.9068951761598156,-0.7759368749766459,3.3490742858097136,-1,1,0,0,0,0
0,3,sense_scandalous,-2.1452518147366453,-1.5525624167719425,-0.48044065317895585,2.1645973796985896,-1,1,0,0,0,0
0,3,prr0teSt_intEnd,2.3404956186598462,2.364477505690643,2.808005610308732,2.525663643382217,1,-1,0,0,0,0
0,3,REqUEst_ReCoGNise,-0.41085173404063163,4.122367840870528,1.3318543275160661,-0.8928581809573074,1,-1,0,0,0,0
0,3,feature_dog,-0.7897691916334053,2.029158304615232,0.18050709819193927,-2.56460940920617,1,-1,0,0,0,0
0,3,hard-to-find_brush,-2.2437369584826476,-2.5625147545380975,1.5468966566670008,-1.49137923830374,-1,1,0,0,0,0
